Airline,Flight Number,Departure City,Arrival City,Return Date,Price,Stops,Duration,Departure Time,Departure Time of Day,Arrival Time of Day
United,UA 1705,Chicago O'Hare International Airport,Seattle Tacoma International Airport,,377,0,284,2025-02-25 09:00,morning,morning
JetBlue,B6 2615,John F. Kennedy International Airport,San Francisco International Airport,,407,0,404,2025-01-07 20:17,night,early morning
Delta,DL 669,John F. Kennedy International Airport,San Francisco International Airport,,422,0,417,2025-01-07 08:55,morning,afternoon
JetBlue,B6 115,John F. Kennedy International Airport,San Francisco International Airport,,437,0,399,2025-01-07 10:30,morning,afternoon
JetBlue,B6 815,John F. Kennedy International Airport,San Francisco International Airport,,437,0,397,2025-01-07 12:00,afternoon,afternoon
JetBlue,B6 615,John F. Kennedy International Airport,San Francisco International Airport,,437,0,399,2025-01-07 16:35,afternoon,night
Delta,DL 679,John F. Kennedy International Airport,San Francisco International Airport,,462,0,406,2025-01-07 14:55,afternoon,evening
Delta,DL 670,John F. Kennedy International Airport,San Francisco International Airport,,462,0,409,2025-01-07 17:05,evening,night
American,AA 179,John F. Kennedy International Airport,San Francisco International Airport,,502,0,428,2025-01-07 08:25,morning,afternoon
Alaska,AS 41,John F. Kennedy International Airport,San Francisco International Airport,,542,0,406,2025-01-07 16:00,afternoon,evening
Delta,DL 363,John F. Kennedy International Airport,San Francisco International Airport,,572,0,409,2025-01-07 11:10,morning,afternoon
American,AA 2305,John F. Kennedy International Airport,San Francisco International Airport,,702,0,410,2025-01-07 17:00,evening,night
American,AA 177,John F. Kennedy International Airport,San Francisco International Airport,,702,0,412,2025-01-07 20:30,night,early morning
Alaska,AS 15,John F. Kennedy International Airport,San Francisco International Airport,,822,0,405,2025-01-07 13:00,afternoon,afternoon
United,UA 1484,Chicago O'Hare International Airport,Los Angeles International Airport,,320,0,290,2025-02-19 10:40,morning,afternoon
United,UA 2440,Chicago O'Hare International Airport,Los Angeles International Airport,,320,0,277,2025-02-19 12:58,afternoon,afternoon
United,UA 1310,Chicago O'Hare International Airport,Los Angeles International Airport,,320,0,285,2025-02-19 15:40,afternoon,evening
United,UA 1859,Chicago O'Hare International Airport,Los Angeles International Airport,,320,0,293,2025-02-19 18:10,evening,night
United,UA 2106,Chicago O'Hare International Airport,Los Angeles International Airport,,334,0,292,2025-02-19 20:05,night,night
American,AA 2062,Chicago O'Hare International Airport,Los Angeles International Airport,,340,0,288,2025-02-19 14:13,afternoon,evening
American,AA 529,Chicago O'Hare International Airport,Los Angeles International Airport,,340,0,283,2025-02-19 15:17,afternoon,evening
American,AA 2941,Chicago O'Hare International Airport,Los Angeles International Airport,,340,0,290,2025-02-19 20:25,night,night
American,AA 2012,Chicago O'Hare International Airport,Los Angeles International Airport,,354,0,285,2025-02-19 08:35,morning,morning
American,AA 1979,Chicago O'Hare International Airport,Los Angeles International Airport,,354,0,286,2025-02-19 09:50,morning,afternoon
American,AA 2364,Chicago O'Hare International Airport,Los Angeles International Airport,,374,0,282,2025-02-19 17:40,evening,night
Southwest,WN 1582,Chicago O'Hare International Airport,Denver International Airport,,430,1,165,2025-02-19 06:15,early morning,morning
Southwest,WN 1651,Denver International Airport,Los Angeles International Airport,,430,1,160,2025-02-19 09:00,morning,morning
JetBlue,B6 896,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,,237,0,158,2025-02-02 19:20,evening,night
JetBlue,B6 1320,Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,,246,1,134,2025-02-02 06:45,early morning,morning
JetBlue,B6 118,John F. Kennedy International Airport,Boston Logan International Airport,,246,1,75,2025-02-02 10:00,morning,morning
American,AA 2479,Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,,247,1,78,2025-02-02 05:00,early morning,early morning
American,AA 1449,Charlotte Douglas International Airport,Boston Logan International Airport,,247,1,129,2025-02-02 07:25,morning,morning
Delta,DL 518,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,,267,0,157,2025-02-02 20:10,night,night
Delta,DL 865,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,,267,0,153,2025-02-02 22:25,night,early morning
Delta,DL 726,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,,298,0,153,2025-02-02 14:35,afternoon,evening
Delta,DL 855,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,,337,0,155,2025-02-02 09:55,morning,afternoon
Southwest,WN 1705,Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Thurgood Marshall Airport,,456,1,105,2025-02-02 06:50,early morning,morning
Southwest,WN 954,Baltimore/Washington International Thurgood Marshall Airport,Boston Logan International Airport,,456,1,95,2025-02-02 09:20,morning,morning
Delta,DL 300,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,,482,0,156,2025-02-02 17:55,evening,night
JetBlue,B6 2116,San Francisco International Airport,John F. Kennedy International Airport,,347,0,335,2025-02-05 11:14,morning,evening
JetBlue,B6 1216,San Francisco International Airport,John F. Kennedy International Airport,,347,0,334,2025-02-05 12:56,afternoon,night
JetBlue,B6 616,San Francisco International Airport,John F. Kennedy International Airport,,347,0,328,2025-02-05 15:20,afternoon,night
JetBlue,B6 2416,San Francisco International Airport,John F. Kennedy International Airport,,347,0,328,2025-02-05 22:35,night,morning
Delta,DL 405,San Francisco International Airport,John F. Kennedy International Airport,,472,0,329,2025-02-05 07:00,morning,afternoon
Delta,DL 383,San Francisco International Airport,John F. Kennedy International Airport,,472,0,340,2025-02-05 09:00,morning,evening
Delta,DL 317,San Francisco International Airport,John F. Kennedy International Airport,,472,0,335,2025-02-05 12:00,afternoon,night
Delta,DL 670,San Francisco International Airport,John F. Kennedy International Airport,,472,0,330,2025-02-05 22:55,night,morning
American,AA 234,San Francisco International Airport,John F. Kennedy International Airport,,482,0,334,2025-02-05 07:25,morning,afternoon
American,AA 16,San Francisco International Airport,John F. Kennedy International Airport,,482,0,340,2025-02-05 10:40,morning,evening
American,AA 166,San Francisco International Airport,John F. Kennedy International Airport,,482,0,335,2025-02-05 13:24,afternoon,night
American,AA 276,San Francisco International Airport,John F. Kennedy International Airport,,482,0,336,2025-02-05 22:53,night,morning
Delta,DL 363,San Francisco International Airport,John F. Kennedy International Airport,,507,0,330,2025-02-05 16:10,afternoon,early morning
United,UA 2440,Chicago O'Hare International Airport,Los Angeles International Airport,,320,0,277,2025-02-18 12:58,afternoon,afternoon
American,AA 2062,Chicago O'Hare International Airport,Los Angeles International Airport,,320,0,288,2025-02-18 14:13,afternoon,evening
American,AA 529,Chicago O'Hare International Airport,Los Angeles International Airport,,320,0,283,2025-02-18 15:17,afternoon,evening
United,UA 1310,Chicago O'Hare International Airport,Los Angeles International Airport,,320,0,285,2025-02-18 15:40,afternoon,evening
American,AA 2364,Chicago O'Hare International Airport,Los Angeles International Airport,,320,0,282,2025-02-18 17:40,evening,night
United,UA 1859,Chicago O'Hare International Airport,Los Angeles International Airport,,320,0,293,2025-02-18 18:10,evening,night
American,AA 2941,Chicago O'Hare International Airport,Los Angeles International Airport,,320,0,290,2025-02-18 20:25,night,night
American,AA 1979,Chicago O'Hare International Airport,Los Angeles International Airport,,334,0,286,2025-02-18 09:50,morning,afternoon
United,UA 1484,Chicago O'Hare International Airport,Los Angeles International Airport,,369,0,290,2025-02-18 10:40,morning,afternoon
United,UA 2106,Chicago O'Hare International Airport,Los Angeles International Airport,,410,0,292,2025-02-18 19:45,evening,night
United,UA 2097,San Francisco International Airport,Chicago O'Hare International Airport,,379,0,258,2025-03-27 22:36,night,early morning
American,AA 2761,San Francisco International Airport,Chicago O'Hare International Airport,,388,0,255,2025-03-27 23:57,night,early morning
American,AA 2418,San Francisco International Airport,Chicago O'Hare International Airport,,443,0,257,2025-03-27 13:23,afternoon,evening
United,UA 2466,San Francisco International Airport,Chicago O'Hare International Airport,,464,0,257,2025-03-27 13:50,afternoon,night
Southwest,WN 1629,San Francisco International Airport,Denver International Airport,,476,1,150,2025-03-27 08:15,morning,morning
Southwest,WN 985,Denver International Airport,Chicago O'Hare International Airport,,476,1,150,2025-03-27 13:15,afternoon,afternoon
United,UA 1372,San Francisco International Airport,Chicago O'Hare International Airport,,488,0,266,2025-03-27 14:52,afternoon,night
United,UA 2117,San Francisco International Airport,Chicago O'Hare International Airport,,488,0,258,2025-03-27 18:42,evening,early morning
Alaska,AS 598,San Francisco International Airport,Chicago O'Hare International Airport,,538,0,264,2025-03-27 11:52,morning,evening
United,UA 793,San Francisco International Airport,Chicago O'Hare International Airport,,616,0,266,2025-03-27 08:29,morning,afternoon
United,UA 574,San Francisco International Airport,Chicago O'Hare International Airport,,617,0,266,2025-03-27 17:05,evening,night
United,UA 1612,San Francisco International Airport,Chicago O'Hare International Airport,,814,0,265,2025-03-27 10:35,morning,evening
American,AA 1226,Miami International Airport,Dallas Fort Worth International Airport,,329,0,203,2025-03-05 05:18,early morning,morning
American,AA 2962,Miami International Airport,Dallas Fort Worth International Airport,,329,0,200,2025-03-05 06:05,early morning,morning
American,AA 2575,Miami International Airport,Dallas Fort Worth International Airport,,329,0,199,2025-03-05 07:00,morning,morning
American,AA 3155,Miami International Airport,Dallas Fort Worth International Airport,,329,0,216,2025-03-05 20:38,night,night
American,AA 1633,Miami International Airport,Dallas Fort Worth International Airport,,359,0,203,2025-03-05 08:20,morning,morning
American,AA 1646,Miami International Airport,Dallas Fort Worth International Airport,,359,0,211,2025-03-05 15:30,afternoon,evening
American,AA 2775,Miami International Airport,Dallas Fort Worth International Airport,,359,0,208,2025-03-05 18:40,evening,night
American,AA 1950,Miami International Airport,Dallas Fort Worth International Airport,,397,0,203,2025-03-05 21:30,night,night
American,AA 2038,Miami International Airport,Dallas Fort Worth International Airport,,417,0,201,2025-03-05 13:30,afternoon,afternoon
United,UA 657,Dallas Fort Worth International Airport,San Francisco International Airport,,316,0,241,2024-12-09 07:39,morning,morning
American,AA 2980,Dallas Fort Worth International Airport,San Francisco International Airport,,318,0,248,2024-12-09 07:20,morning,morning
American,AA 2231,Dallas Fort Worth International Airport,San Francisco International Airport,,318,0,239,2024-12-09 11:00,morning,afternoon
American,AA 1264,Dallas Fort Worth International Airport,San Francisco International Airport,,318,0,234,2024-12-09 12:59,afternoon,afternoon
American,AA 1430,Dallas Fort Worth International Airport,San Francisco International Airport,,318,0,236,2024-12-09 18:55,evening,night
American,AA 2177,Dallas Fort Worth International Airport,San Francisco International Airport,,379,0,233,2024-12-09 09:24,morning,morning
American,AA 76,John F. Kennedy International Airport,San Francisco International Airport,,522,0,404,2025-03-13 06:00,early morning,morning
American,AA 179,John F. Kennedy International Airport,San Francisco International Airport,,522,0,421,2025-03-13 08:10,morning,afternoon
American,AA 2305,John F. Kennedy International Airport,San Francisco International Airport,,522,0,406,2025-03-13 17:00,evening,night
American,AA 177,John F. Kennedy International Airport,San Francisco International Airport,,522,0,404,2025-03-13 21:00,night,early morning
Delta,DL 668,John F. Kennedy International Airport,San Francisco International Airport,,572,0,392,2025-03-13 07:00,morning,morning
Delta,DL 669,John F. Kennedy International Airport,San Francisco International Airport,,572,0,396,2025-03-13 09:00,morning,afternoon
Delta,DL 680,John F. Kennedy International Airport,San Francisco International Airport,,572,0,400,2025-03-13 11:30,morning,afternoon
Delta,DL 679,John F. Kennedy International Airport,San Francisco International Airport,,572,0,407,2025-03-13 14:55,afternoon,evening
Delta,DL 670,John F. Kennedy International Airport,San Francisco International Airport,,572,0,405,2025-03-13 17:15,evening,night
Delta,DL 667,John F. Kennedy International Airport,San Francisco International Airport,,666,0,412,2025-03-13 19:20,evening,night
JetBlue,B6 15,John F. Kennedy International Airport,San Francisco International Airport,,697,0,398,2025-03-13 08:00,morning,morning
JetBlue,B6 1515,John F. Kennedy International Airport,San Francisco International Airport,,697,0,392,2025-03-13 09:15,morning,afternoon
JetBlue,B6 115,John F. Kennedy International Airport,San Francisco International Airport,,697,0,396,2025-03-13 11:30,morning,afternoon
JetBlue,B6 615,John F. Kennedy International Airport,San Francisco International Airport,,697,0,397,2025-03-13 15:55,afternoon,evening
JetBlue,B6 2615,John F. Kennedy International Airport,San Francisco International Airport,,697,0,404,2025-03-13 20:30,night,early morning
JetBlue,B6 815,John F. Kennedy International Airport,San Francisco International Airport,,697,0,394,2025-03-13 21:30,night,early morning
United,UA 592,Boston Logan International Airport,Newark Liberty International Airport,,236,1,85,2025-02-08 10:35,morning,afternoon
United,UA 1639,Newark Liberty International Airport,Miami International Airport,,236,1,199,2025-02-08 13:00,afternoon,afternoon
American,AA 1418,Boston Logan International Airport,Miami International Airport,,252,0,231,2025-02-08 05:18,early morning,morning
American,AA 1745,Boston Logan International Airport,Miami International Airport,,252,0,226,2025-02-08 12:30,afternoon,afternoon
American,AA 2765,Boston Logan International Airport,Miami International Airport,,302,0,225,2025-02-08 06:44,early morning,morning
Delta,DL 1399,Boston Logan International Airport,Miami International Airport,,332,0,230,2025-02-08 10:00,morning,afternoon
JetBlue,B6 1519,Boston Logan International Airport,Miami International Airport,,357,0,217,2025-02-08 07:00,morning,morning
American,AA 3932,Boston Logan International Airport,Miami International Airport,,372,0,231,2025-02-08 10:03,morning,afternoon
United,UA 405,Los Angeles International Airport,Boston Logan International Airport,,434,0,340,2025-04-06 13:15,afternoon,night
American,AA 12,Los Angeles International Airport,Boston Logan International Airport,,446,0,338,2025-04-06 08:00,morning,afternoon
JetBlue,B6 188,Los Angeles International Airport,Boston Logan International Airport,,494,0,332,2025-04-06 06:00,early morning,afternoon
JetBlue,B6 688,Los Angeles International Airport,Boston Logan International Airport,,527,0,336,2025-04-06 10:15,morning,evening
JetBlue,B6 988,Los Angeles International Airport,Boston Logan International Airport,,527,0,328,2025-04-06 12:45,afternoon,night
JetBlue,B6 288,Los Angeles International Airport,Boston Logan International Airport,,527,0,328,2025-04-06 14:20,afternoon,night
Delta,DL 639,Los Angeles International Airport,Boston Logan International Airport,,570,0,332,2025-04-06 07:45,morning,afternoon
Delta,DL 507,Los Angeles International Airport,Boston Logan International Airport,,570,0,335,2025-04-06 21:20,night,early morning
United,UA 1783,Los Angeles International Airport,Boston Logan International Airport,,652,0,323,2025-04-06 08:15,morning,afternoon
Delta,DL 437,Los Angeles International Airport,Boston Logan International Airport,,712,0,332,2025-04-06 13:00,afternoon,night
American,AA 2765,Los Angeles International Airport,Miami International Airport,,501,0,295,2025-01-05 13:05,afternoon,night
American,AA 1990,Los Angeles International Airport,Miami International Airport,,501,0,303,2025-01-05 14:02,afternoon,night
United,UA 1416,Los Angeles International Airport,George Bush Intercontinental Airport,,502,1,200,2025-01-05 08:20,morning,afternoon
United,UA 1501,George Bush Intercontinental Airport,Miami International Airport,,502,1,153,2025-01-05 14:20,afternoon,evening
American,AA 2186,Los Angeles International Airport,Miami International Airport,,531,0,300,2025-01-05 21:22,night,early morning
American,AA 2755,Los Angeles International Airport,Miami International Airport,,554,0,301,2025-01-05 23:10,night,morning
Delta,DL 811,Los Angeles International Airport,Miami International Airport,,869,0,303,2025-01-05 08:00,morning,afternoon
United,UA 2013,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,273,0,243,2025-05-13 14:07,afternoon,night
United,UA 1195,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,273,0,238,2025-05-13 17:37,evening,night
United,UA 1631,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,273,0,240,2025-05-13 22:50,night,early morning
United,UA 747,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,273,0,237,2025-05-13 23:50,night,early morning
American,AA 2398,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,298,0,251,2025-05-13 13:29,afternoon,evening
Delta,DL 2341,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,313,0,254,2025-05-13 11:40,morning,evening
Delta,DL 2055,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,347,0,251,2025-05-13 07:20,morning,afternoon
Alaska,AS 429,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,353,0,255,2025-05-13 09:55,morning,afternoon
Alaska,AS 410,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,353,0,245,2025-05-13 11:45,morning,evening
United,UA 2296,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,357,0,245,2025-05-13 11:05,morning,evening
Alaska,AS 408,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,403,0,244,2025-05-13 06:00,early morning,afternoon
Alaska,AS 890,Seattle Tacoma International Airport,Chicago O'Hare International Airport,,403,0,244,2025-05-13 07:00,morning,afternoon
United,UA 2113,Los Angeles International Airport,Chicago O'Hare International Airport,,471,0,250,2025-04-16 10:55,morning,evening
United,UA 1069,Los Angeles International Airport,Chicago O'Hare International Airport,,471,0,254,2025-04-16 12:40,afternoon,evening
United,UA 2487,Los Angeles International Airport,Chicago O'Hare International Airport,,471,0,250,2025-04-16 14:12,afternoon,night
United,UA 1013,Los Angeles International Airport,Chicago O'Hare International Airport,,471,0,260,2025-04-16 16:25,afternoon,night
United,UA 1312,Los Angeles International Airport,Chicago O'Hare International Airport,,471,0,242,2025-04-16 17:48,evening,night
United,UA 2622,Los Angeles International Airport,Chicago O'Hare International Airport,,471,0,228,2025-04-16 23:15,night,early morning
United,UA 1843,Los Angeles International Airport,Chicago O'Hare International Airport,,471,0,250,2025-04-16 23:58,night,early morning
American,AA 2757,Los Angeles International Airport,Chicago O'Hare International Airport,,491,0,238,2025-04-16 00:15,early morning,early morning
American,AA 383,Los Angeles International Airport,Chicago O'Hare International Airport,,491,0,250,2025-04-16 06:00,early morning,afternoon
American,AA 2608,Los Angeles International Airport,Chicago O'Hare International Airport,,491,0,245,2025-04-16 09:45,morning,afternoon
American,AA 613,Los Angeles International Airport,Chicago O'Hare International Airport,,491,0,247,2025-04-16 11:37,morning,evening
American,AA 1979,Los Angeles International Airport,Chicago O'Hare International Airport,,491,0,245,2025-04-16 13:29,afternoon,evening
American,AA 2037,Los Angeles International Airport,Chicago O'Hare International Airport,,491,0,243,2025-04-16 17:31,evening,night
American,AA 1009,Los Angeles International Airport,Chicago O'Hare International Airport,,491,0,243,2025-04-16 23:12,night,early morning
Delta,DL 5783,John F. Kennedy International Airport,Chicago O'Hare International Airport,,188,0,175,2025-01-27 15:55,afternoon,evening
Delta,DL 3709,John F. Kennedy International Airport,Chicago O'Hare International Airport,,188,0,179,2025-01-27 19:29,evening,night
Delta,DL 5705,John F. Kennedy International Airport,Chicago O'Hare International Airport,,197,0,175,2025-01-27 08:00,morning,morning
American,AA 4734,John F. Kennedy International Airport,Pittsburgh International Airport,,224,1,102,2025-01-27 14:00,afternoon,afternoon
American,AA 4406,Pittsburgh International Airport,Chicago O'Hare International Airport,,224,1,105,2025-01-27 16:13,afternoon,afternoon
JetBlue,B6 1205,John F. Kennedy International Airport,Chicago O'Hare International Airport,,237,0,173,2025-01-27 13:35,afternoon,afternoon
American,AA 655,John F. Kennedy International Airport,Miami International Airport,,222,0,192,2025-04-03 05:45,early morning,morning
American,AA 3238,John F. Kennedy International Airport,Miami International Airport,,222,0,192,2025-04-03 06:30,early morning,morning
American,AA 2017,John F. Kennedy International Airport,Miami International Airport,,222,0,196,2025-04-03 07:30,morning,morning
American,AA 595,John F. Kennedy International Airport,Miami International Airport,,222,0,196,2025-04-03 11:30,morning,afternoon
American,AA 2786,John F. Kennedy International Airport,Miami International Airport,,222,0,193,2025-04-03 12:30,afternoon,afternoon
American,AA 2603,John F. Kennedy International Airport,Miami International Airport,,222,0,195,2025-04-03 17:29,evening,night
American,AA 1174,John F. Kennedy International Airport,Miami International Airport,,222,0,195,2025-04-03 18:30,evening,night
JetBlue,B6 2293,John F. Kennedy International Airport,Miami International Airport,,232,0,194,2025-04-03 07:40,morning,morning
JetBlue,B6 2593,John F. Kennedy International Airport,Miami International Airport,,232,0,188,2025-04-03 09:40,morning,afternoon
JetBlue,B6 1993,John F. Kennedy International Airport,Miami International Airport,,302,0,194,2025-04-03 13:40,afternoon,afternoon
Delta,DL 1514,John F. Kennedy International Airport,Miami International Airport,,342,0,196,2025-04-03 11:40,morning,afternoon
Delta,DL 2003,John F. Kennedy International Airport,Miami International Airport,,342,0,202,2025-04-03 13:20,afternoon,afternoon
Delta,DL 1528,John F. Kennedy International Airport,Miami International Airport,,362,0,204,2025-04-03 07:35,morning,morning
Delta,DL 1438,John F. Kennedy International Airport,Miami International Airport,,412,0,203,2025-04-03 15:20,afternoon,evening
Delta,DL 1428,John F. Kennedy International Airport,Miami International Airport,,412,0,208,2025-04-03 19:45,evening,night
United,UA 380,Dallas Fort Worth International Airport,Chicago O'Hare International Airport,,392,1,145,2025-02-14 07:00,morning,morning
United,UA 380,Chicago O'Hare International Airport,Hartsfield-Jackson Atlanta International Airport,,392,1,125,2025-02-14 10:50,morning,afternoon
Delta,DL 374,Dallas Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,,451,0,134,2025-02-14 17:59,evening,night
American,AA 2403,Dallas Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,,480,0,118,2025-02-14 16:24,afternoon,evening
American,AA 3323,Dallas Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,,550,0,132,2025-02-14 07:05,morning,morning
American,AA 1276,Dallas Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,,550,0,128,2025-02-14 08:14,morning,morning
American,AA 1236,Dallas Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,,550,0,128,2025-02-14 12:30,afternoon,afternoon
Delta,DL 401,Dallas Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,,560,0,128,2025-02-14 05:31,early morning,morning
