Airline,Flight Number,Departure City,Arrival City,Departure Date,Return Date,Price,Stops,Duration,Departure Time,Arrival Time
United,UA 1510,Denver International Airport,Boston Logan International Airport,2025-02-20 17:45,N/A,462,0,234,2025-02-20 17:45,2025-02-20 23:39
United,UA 2461,Denver International Airport,Boston Logan International Airport,2025-02-20 09:45,N/A,487,0,230,2025-02-20 09:45,2025-02-20 15:35
Southwest,WN 2575,Denver International Airport,Boston Logan International Airport,2025-02-20 09:10,N/A,506,0,230,2025-02-20 09:10,2025-02-20 15:00
Southwest,WN 4234,Denver International Airport,Boston Logan International Airport,2025-02-20 18:05,N/A,554,0,230,2025-02-20 18:05,2025-02-20 23:55
Southwest,WN 1554,Denver International Airport,Boston Logan International Airport,2025-02-20 11:45,N/A,584,0,235,2025-02-20 11:45,2025-02-20 17:40
United,UA 2420,San Francisco International Airport,Denver International Airport,2025-04-21 05:15,N/A,397,0,155,2025-04-21 05:15,2025-04-21 08:50
United,UA 452,San Francisco International Airport,Denver International Airport,2025-04-21 06:35,N/A,397,0,161,2025-04-21 06:35,2025-04-21 10:16
United,UA 2862,San Francisco International Airport,Denver International Airport,2025-04-21 19:06,N/A,397,0,159,2025-04-21 19:06,2025-04-21 22:45
Delta,DL 920,San Francisco International Airport,Salt Lake City International Airport,2025-04-21 10:10,N/A,446,1,115,2025-04-21 10:10,2025-04-21 13:05
Delta,DL 1623,Salt Lake City International Airport,Denver International Airport,2025-04-21 13:40,N/A,446,1,91,2025-04-21 13:40,2025-04-21 15:11
United,UA 501,San Francisco International Airport,Denver International Airport,2025-04-21 08:39,N/A,484,0,159,2025-04-21 08:39,2025-04-21 12:18
United,UA 277,San Francisco International Airport,Denver International Airport,2025-04-21 11:00,N/A,526,0,154,2025-04-21 11:00,2025-04-21 14:34
United,UA 1791,San Francisco International Airport,Denver International Airport,2025-04-21 12:56,N/A,558,0,155,2025-04-21 12:56,2025-04-21 16:31
American,AA 2423,San Francisco International Airport,Phoenix Sky Harbor International Airport,2025-04-21 12:50,N/A,562,1,120,2025-04-21 12:50,2025-04-21 14:50
American,AA 1309,Phoenix Sky Harbor International Airport,Denver International Airport,2025-04-21 15:15,N/A,562,1,107,2025-04-21 15:15,2025-04-21 18:02
United,UA 757,Seattle Tacoma International Airport,Denver International Airport,2025-02-26 15:16,N/A,223,1,165,2025-02-26 15:16,2025-02-26 19:01
United,UA 377,Denver International Airport,Chicago O'Hare International Airport,2025-02-26 20:30,N/A,223,1,148,2025-02-26 20:30,2025-02-26 23:58
Delta,DL 2108,Seattle Tacoma International Airport,Chicago O'Hare International Airport,2025-02-26 17:55,N/A,233,0,241,2025-02-26 17:55,2025-02-26 23:56
United,UA 2296,Seattle Tacoma International Airport,Chicago O'Hare International Airport,2025-02-26 10:52,N/A,262,0,246,2025-02-26 10:52,2025-02-26 16:58
Alaska,AS 352,Seattle Tacoma International Airport,Chicago O'Hare International Airport,2025-02-26 11:46,N/A,377,0,254,2025-02-26 11:46,2025-02-26 18:00
Alaska,AS 538,Seattle Tacoma International Airport,Chicago O'Hare International Airport,2025-02-26 18:03,N/A,377,0,236,2025-02-26 18:03,2025-02-26 23:59
Alaska,AS 408,Seattle Tacoma International Airport,Chicago O'Hare International Airport,2025-02-26 08:55,N/A,547,0,255,2025-02-26 08:55,2025-02-26 15:10
United,UA 558,Denver International Airport,Boston Logan International Airport,2025-04-06 07:45,N/A,462,0,244,2025-04-06 07:45,2025-04-06 13:49
United,UA 1510,Denver International Airport,Boston Logan International Airport,2025-04-06 17:43,N/A,462,0,239,2025-04-06 17:43,2025-04-06 23:42
American,AA 1647,Denver International Airport,Chicago O'Hare International Airport,2025-04-06 10:54,N/A,463,1,146,2025-04-06 10:54,2025-04-06 14:20
American,AA 3160,Chicago O'Hare International Airport,Boston Logan International Airport,2025-04-06 15:00,N/A,463,1,136,2025-04-06 15:00,2025-04-06 18:16
United,UA 1027,Denver International Airport,Boston Logan International Airport,2025-04-06 16:00,N/A,505,0,239,2025-04-06 16:00,2025-04-06 21:59
United,UA 597,Denver International Airport,Boston Logan International Airport,2025-04-06 13:25,N/A,550,0,244,2025-04-06 13:25,2025-04-06 19:29
United,UA 2461,Denver International Airport,Boston Logan International Airport,2025-04-06 09:50,N/A,561,0,244,2025-04-06 09:50,2025-04-06 15:54
United,UA 1387,Chicago O'Hare International Airport,San Francisco International Airport,2025-02-25 08:45,N/A,287,1,295,2025-02-25 08:45,2025-02-25 11:40
United,UA 1387,San Francisco International Airport,Seattle Tacoma International Airport,2025-02-25 13:33,N/A,287,1,139,2025-02-25 13:33,2025-02-25 15:52
United,UA 2211,Chicago O'Hare International Airport,Seattle Tacoma International Airport,2025-02-25 19:59,N/A,287,0,283,2025-02-25 19:59,2025-02-25 22:42
Alaska,AS 335,Chicago O'Hare International Airport,Seattle Tacoma International Airport,2025-02-25 14:00,N/A,317,0,282,2025-02-25 14:00,2025-02-25 16:42
Alaska,AS 353,Chicago O'Hare International Airport,Seattle Tacoma International Airport,2025-02-25 17:54,N/A,317,0,281,2025-02-25 17:54,2025-02-25 20:35
Delta,DL 2041,Chicago O'Hare International Airport,Seattle Tacoma International Airport,2025-02-25 07:00,N/A,320,0,298,2025-02-25 07:00,2025-02-25 09:58
United,UA 1705,Chicago O'Hare International Airport,Seattle Tacoma International Airport,2025-02-25 09:00,N/A,377,0,284,2025-02-25 09:00,2025-02-25 11:44
JetBlue,B6 2615,John F. Kennedy International Airport,San Francisco International Airport,2025-01-07 20:17,N/A,407,0,404,2025-01-07 20:17,2025-01-08 00:01
Delta,DL 669,John F. Kennedy International Airport,San Francisco International Airport,2025-01-07 08:55,N/A,422,0,417,2025-01-07 08:55,2025-01-07 12:52
JetBlue,B6 115,John F. Kennedy International Airport,San Francisco International Airport,2025-01-07 10:30,N/A,437,0,399,2025-01-07 10:30,2025-01-07 14:09
JetBlue,B6 815,John F. Kennedy International Airport,San Francisco International Airport,2025-01-07 12:00,N/A,437,0,397,2025-01-07 12:00,2025-01-07 15:37
JetBlue,B6 615,John F. Kennedy International Airport,San Francisco International Airport,2025-01-07 16:35,N/A,437,0,399,2025-01-07 16:35,2025-01-07 20:14
Delta,DL 679,John F. Kennedy International Airport,San Francisco International Airport,2025-01-07 14:55,N/A,462,0,406,2025-01-07 14:55,2025-01-07 18:41
Delta,DL 670,John F. Kennedy International Airport,San Francisco International Airport,2025-01-07 17:05,N/A,462,0,409,2025-01-07 17:05,2025-01-07 20:54
American,AA 179,John F. Kennedy International Airport,San Francisco International Airport,2025-01-07 08:25,N/A,502,0,428,2025-01-07 08:25,2025-01-07 12:33
Alaska,AS 41,John F. Kennedy International Airport,San Francisco International Airport,2025-01-07 16:00,N/A,542,0,406,2025-01-07 16:00,2025-01-07 19:46
Delta,DL 363,John F. Kennedy International Airport,San Francisco International Airport,2025-01-07 11:10,N/A,572,0,409,2025-01-07 11:10,2025-01-07 14:59
American,AA 2305,John F. Kennedy International Airport,San Francisco International Airport,2025-01-07 17:00,N/A,702,0,410,2025-01-07 17:00,2025-01-07 20:50
American,AA 177,John F. Kennedy International Airport,San Francisco International Airport,2025-01-07 20:30,N/A,702,0,412,2025-01-07 20:30,2025-01-08 00:22
Alaska,AS 15,John F. Kennedy International Airport,San Francisco International Airport,2025-01-07 13:00,N/A,822,0,405,2025-01-07 13:00,2025-01-07 16:45
United,UA 1484,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-19 10:40,N/A,320,0,290,2025-02-19 10:40,2025-02-19 13:30
United,UA 2440,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-19 12:58,N/A,320,0,277,2025-02-19 12:58,2025-02-19 15:35
United,UA 1310,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-19 15:40,N/A,320,0,285,2025-02-19 15:40,2025-02-19 18:25
United,UA 1859,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-19 18:10,N/A,320,0,293,2025-02-19 18:10,2025-02-19 21:03
United,UA 2106,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-19 20:05,N/A,334,0,292,2025-02-19 20:05,2025-02-19 22:57
American,AA 2062,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-19 14:13,N/A,340,0,288,2025-02-19 14:13,2025-02-19 17:01
American,AA 529,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-19 15:17,N/A,340,0,283,2025-02-19 15:17,2025-02-19 18:00
American,AA 2941,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-19 20:25,N/A,340,0,290,2025-02-19 20:25,2025-02-19 23:15
American,AA 2012,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-19 08:35,N/A,354,0,285,2025-02-19 08:35,2025-02-19 11:20
American,AA 1979,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-19 09:50,N/A,354,0,286,2025-02-19 09:50,2025-02-19 12:36
American,AA 2364,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-19 17:40,N/A,374,0,282,2025-02-19 17:40,2025-02-19 20:22
Southwest,WN 1582,Chicago O'Hare International Airport,Denver International Airport,2025-02-19 06:15,N/A,430,1,165,2025-02-19 06:15,2025-02-19 08:00
Southwest,WN 1651,Denver International Airport,Los Angeles International Airport,2025-02-19 09:00,N/A,430,1,160,2025-02-19 09:00,2025-02-19 10:40
JetBlue,B6 896,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,2025-02-02 19:20,N/A,237,0,158,2025-02-02 19:20,2025-02-02 21:58
JetBlue,B6 1320,Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,2025-02-02 06:45,N/A,246,1,134,2025-02-02 06:45,2025-02-02 08:59
JetBlue,B6 118,John F. Kennedy International Airport,Boston Logan International Airport,2025-02-02 10:00,N/A,246,1,75,2025-02-02 10:00,2025-02-02 11:15
American,AA 2479,Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,2025-02-02 05:00,N/A,247,1,78,2025-02-02 05:00,2025-02-02 06:18
American,AA 1449,Charlotte Douglas International Airport,Boston Logan International Airport,2025-02-02 07:25,N/A,247,1,129,2025-02-02 07:25,2025-02-02 09:34
Delta,DL 518,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,2025-02-02 20:10,N/A,267,0,157,2025-02-02 20:10,2025-02-02 22:47
Delta,DL 865,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,2025-02-02 22:25,N/A,267,0,153,2025-02-02 22:25,2025-02-03 00:58
Delta,DL 726,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,2025-02-02 14:35,N/A,298,0,153,2025-02-02 14:35,2025-02-02 17:08
Delta,DL 855,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,2025-02-02 09:55,N/A,337,0,155,2025-02-02 09:55,2025-02-02 12:30
Southwest,WN 1705,Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Thurgood Marshall Airport,2025-02-02 06:50,N/A,456,1,105,2025-02-02 06:50,2025-02-02 08:35
Southwest,WN 954,Baltimore/Washington International Thurgood Marshall Airport,Boston Logan International Airport,2025-02-02 09:20,N/A,456,1,95,2025-02-02 09:20,2025-02-02 10:55
Delta,DL 300,Hartsfield-Jackson Atlanta International Airport,Boston Logan International Airport,2025-02-02 17:55,N/A,482,0,156,2025-02-02 17:55,2025-02-02 20:31
JetBlue,B6 2116,San Francisco International Airport,John F. Kennedy International Airport,2025-02-05 11:14,N/A,347,0,335,2025-02-05 11:14,2025-02-05 19:49
JetBlue,B6 1216,San Francisco International Airport,John F. Kennedy International Airport,2025-02-05 12:56,N/A,347,0,334,2025-02-05 12:56,2025-02-05 21:30
JetBlue,B6 616,San Francisco International Airport,John F. Kennedy International Airport,2025-02-05 15:20,N/A,347,0,328,2025-02-05 15:20,2025-02-05 23:48
JetBlue,B6 2416,San Francisco International Airport,John F. Kennedy International Airport,2025-02-05 22:35,N/A,347,0,328,2025-02-05 22:35,2025-02-06 07:03
Delta,DL 405,San Francisco International Airport,John F. Kennedy International Airport,2025-02-05 07:00,N/A,472,0,329,2025-02-05 07:00,2025-02-05 15:29
Delta,DL 383,San Francisco International Airport,John F. Kennedy International Airport,2025-02-05 09:00,N/A,472,0,340,2025-02-05 09:00,2025-02-05 17:40
Delta,DL 317,San Francisco International Airport,John F. Kennedy International Airport,2025-02-05 12:00,N/A,472,0,335,2025-02-05 12:00,2025-02-05 20:35
Delta,DL 670,San Francisco International Airport,John F. Kennedy International Airport,2025-02-05 22:55,N/A,472,0,330,2025-02-05 22:55,2025-02-06 07:25
American,AA 234,San Francisco International Airport,John F. Kennedy International Airport,2025-02-05 07:25,N/A,482,0,334,2025-02-05 07:25,2025-02-05 15:59
American,AA 16,San Francisco International Airport,John F. Kennedy International Airport,2025-02-05 10:40,N/A,482,0,340,2025-02-05 10:40,2025-02-05 19:20
American,AA 166,San Francisco International Airport,John F. Kennedy International Airport,2025-02-05 13:24,N/A,482,0,335,2025-02-05 13:24,2025-02-05 21:59
American,AA 276,San Francisco International Airport,John F. Kennedy International Airport,2025-02-05 22:53,N/A,482,0,336,2025-02-05 22:53,2025-02-06 07:29
Delta,DL 363,San Francisco International Airport,John F. Kennedy International Airport,2025-02-05 16:10,N/A,507,0,330,2025-02-05 16:10,2025-02-06 00:40
United,UA 2440,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-18 12:58,N/A,320,0,277,2025-02-18 12:58,2025-02-18 15:35
American,AA 2062,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-18 14:13,N/A,320,0,288,2025-02-18 14:13,2025-02-18 17:01
American,AA 529,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-18 15:17,N/A,320,0,283,2025-02-18 15:17,2025-02-18 18:00
United,UA 1310,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-18 15:40,N/A,320,0,285,2025-02-18 15:40,2025-02-18 18:25
American,AA 2364,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-18 17:40,N/A,320,0,282,2025-02-18 17:40,2025-02-18 20:22
United,UA 1859,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-18 18:10,N/A,320,0,293,2025-02-18 18:10,2025-02-18 21:03
American,AA 2941,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-18 20:25,N/A,320,0,290,2025-02-18 20:25,2025-02-18 23:15
American,AA 1979,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-18 09:50,N/A,334,0,286,2025-02-18 09:50,2025-02-18 12:36
United,UA 1484,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-18 10:40,N/A,369,0,290,2025-02-18 10:40,2025-02-18 13:30
United,UA 2106,Chicago O'Hare International Airport,Los Angeles International Airport,2025-02-18 19:45,N/A,410,0,292,2025-02-18 19:45,2025-02-18 22:37
United,UA 2097,San Francisco International Airport,Chicago O'Hare International Airport,2025-03-27 22:36,N/A,379,0,258,2025-03-27 22:36,2025-03-28 04:54
American,AA 2761,San Francisco International Airport,Chicago O'Hare International Airport,2025-03-27 23:57,N/A,388,0,255,2025-03-27 23:57,2025-03-28 06:12
American,AA 2418,San Francisco International Airport,Chicago O'Hare International Airport,2025-03-27 13:23,N/A,443,0,257,2025-03-27 13:23,2025-03-27 19:40
United,UA 2466,San Francisco International Airport,Chicago O'Hare International Airport,2025-03-27 13:50,N/A,464,0,257,2025-03-27 13:50,2025-03-27 20:07
Southwest,WN 1629,San Francisco International Airport,Denver International Airport,2025-03-27 08:15,N/A,476,1,150,2025-03-27 08:15,2025-03-27 11:45
Southwest,WN 985,Denver International Airport,Chicago O'Hare International Airport,2025-03-27 13:15,N/A,476,1,150,2025-03-27 13:15,2025-03-27 16:45
United,UA 1372,San Francisco International Airport,Chicago O'Hare International Airport,2025-03-27 14:52,N/A,488,0,266,2025-03-27 14:52,2025-03-27 21:18
United,UA 2117,San Francisco International Airport,Chicago O'Hare International Airport,2025-03-27 18:42,N/A,488,0,258,2025-03-27 18:42,2025-03-28 01:00
Alaska,AS 598,San Francisco International Airport,Chicago O'Hare International Airport,2025-03-27 11:52,N/A,538,0,264,2025-03-27 11:52,2025-03-27 18:16
United,UA 793,San Francisco International Airport,Chicago O'Hare International Airport,2025-03-27 08:29,N/A,616,0,266,2025-03-27 08:29,2025-03-27 14:55
United,UA 574,San Francisco International Airport,Chicago O'Hare International Airport,2025-03-27 17:05,N/A,617,0,266,2025-03-27 17:05,2025-03-27 23:31
United,UA 1612,San Francisco International Airport,Chicago O'Hare International Airport,2025-03-27 10:35,N/A,814,0,265,2025-03-27 10:35,2025-03-27 17:00
American,AA 1226,Miami International Airport,Dallas Fort Worth International Airport,2025-03-05 05:18,N/A,329,0,203,2025-03-05 05:18,2025-03-05 07:41
American,AA 2962,Miami International Airport,Dallas Fort Worth International Airport,2025-03-05 06:05,N/A,329,0,200,2025-03-05 06:05,2025-03-05 08:25
American,AA 2575,Miami International Airport,Dallas Fort Worth International Airport,2025-03-05 07:00,N/A,329,0,199,2025-03-05 07:00,2025-03-05 09:19
American,AA 3155,Miami International Airport,Dallas Fort Worth International Airport,2025-03-05 20:38,N/A,329,0,216,2025-03-05 20:38,2025-03-05 23:14
American,AA 1633,Miami International Airport,Dallas Fort Worth International Airport,2025-03-05 08:20,N/A,359,0,203,2025-03-05 08:20,2025-03-05 10:43
American,AA 1646,Miami International Airport,Dallas Fort Worth International Airport,2025-03-05 15:30,N/A,359,0,211,2025-03-05 15:30,2025-03-05 18:01
American,AA 2775,Miami International Airport,Dallas Fort Worth International Airport,2025-03-05 18:40,N/A,359,0,208,2025-03-05 18:40,2025-03-05 21:08
American,AA 1950,Miami International Airport,Dallas Fort Worth International Airport,2025-03-05 21:30,N/A,397,0,203,2025-03-05 21:30,2025-03-05 23:53
American,AA 2038,Miami International Airport,Dallas Fort Worth International Airport,2025-03-05 13:30,N/A,417,0,201,2025-03-05 13:30,2025-03-05 15:51
United,UA 657,Dallas Fort Worth International Airport,San Francisco International Airport,2024-12-09 07:39,N/A,316,0,241,2024-12-09 07:39,2024-12-09 09:40
American,AA 2980,Dallas Fort Worth International Airport,San Francisco International Airport,2024-12-09 07:20,N/A,318,0,248,2024-12-09 07:20,2024-12-09 09:28
American,AA 2231,Dallas Fort Worth International Airport,San Francisco International Airport,2024-12-09 11:00,N/A,318,0,239,2024-12-09 11:00,2024-12-09 12:59
American,AA 1264,Dallas Fort Worth International Airport,San Francisco International Airport,2024-12-09 12:59,N/A,318,0,234,2024-12-09 12:59,2024-12-09 14:53
American,AA 1430,Dallas Fort Worth International Airport,San Francisco International Airport,2024-12-09 18:55,N/A,318,0,236,2024-12-09 18:55,2024-12-09 20:51
American,AA 2177,Dallas Fort Worth International Airport,San Francisco International Airport,2024-12-09 09:24,N/A,379,0,233,2024-12-09 09:24,2024-12-09 11:17
American,AA 76,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 06:00,N/A,522,0,404,2025-03-13 06:00,2025-03-13 09:44
American,AA 179,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 08:10,N/A,522,0,421,2025-03-13 08:10,2025-03-13 12:11
American,AA 2305,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 17:00,N/A,522,0,406,2025-03-13 17:00,2025-03-13 20:46
American,AA 177,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 21:00,N/A,522,0,404,2025-03-13 21:00,2025-03-14 00:44
Delta,DL 668,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 07:00,N/A,572,0,392,2025-03-13 07:00,2025-03-13 10:32
Delta,DL 669,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 09:00,N/A,572,0,396,2025-03-13 09:00,2025-03-13 12:36
Delta,DL 680,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 11:30,N/A,572,0,400,2025-03-13 11:30,2025-03-13 15:10
Delta,DL 679,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 14:55,N/A,572,0,407,2025-03-13 14:55,2025-03-13 18:42
Delta,DL 670,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 17:15,N/A,572,0,405,2025-03-13 17:15,2025-03-13 21:00
Delta,DL 667,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 19:20,N/A,666,0,412,2025-03-13 19:20,2025-03-13 23:12
JetBlue,B6 15,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 08:00,N/A,697,0,398,2025-03-13 08:00,2025-03-13 11:38
JetBlue,B6 1515,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 09:15,N/A,697,0,392,2025-03-13 09:15,2025-03-13 12:47
JetBlue,B6 115,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 11:30,N/A,697,0,396,2025-03-13 11:30,2025-03-13 15:06
JetBlue,B6 615,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 15:55,N/A,697,0,397,2025-03-13 15:55,2025-03-13 19:32
JetBlue,B6 2615,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 20:30,N/A,697,0,404,2025-03-13 20:30,2025-03-14 00:14
JetBlue,B6 815,John F. Kennedy International Airport,San Francisco International Airport,2025-03-13 21:30,N/A,697,0,394,2025-03-13 21:30,2025-03-14 01:04
United,UA 592,Boston Logan International Airport,Newark Liberty International Airport,2025-02-08 10:35,N/A,236,1,85,2025-02-08 10:35,2025-02-08 12:00
United,UA 1639,Newark Liberty International Airport,Miami International Airport,2025-02-08 13:00,N/A,236,1,199,2025-02-08 13:00,2025-02-08 16:19
American,AA 1418,Boston Logan International Airport,Miami International Airport,2025-02-08 05:18,N/A,252,0,231,2025-02-08 05:18,2025-02-08 09:09
American,AA 1745,Boston Logan International Airport,Miami International Airport,2025-02-08 12:30,N/A,252,0,226,2025-02-08 12:30,2025-02-08 16:16
American,AA 2765,Boston Logan International Airport,Miami International Airport,2025-02-08 06:44,N/A,302,0,225,2025-02-08 06:44,2025-02-08 10:29
Delta,DL 1399,Boston Logan International Airport,Miami International Airport,2025-02-08 10:00,N/A,332,0,230,2025-02-08 10:00,2025-02-08 13:50
JetBlue,B6 1519,Boston Logan International Airport,Miami International Airport,2025-02-08 07:00,N/A,357,0,217,2025-02-08 07:00,2025-02-08 10:37
American,AA 3932,Boston Logan International Airport,Miami International Airport,2025-02-08 10:03,N/A,372,0,231,2025-02-08 10:03,2025-02-08 13:54
United,UA 405,Los Angeles International Airport,Boston Logan International Airport,2025-04-06 13:15,N/A,434,0,340,2025-04-06 13:15,2025-04-06 21:55
American,AA 12,Los Angeles International Airport,Boston Logan International Airport,2025-04-06 08:00,N/A,446,0,338,2025-04-06 08:00,2025-04-06 16:38
JetBlue,B6 188,Los Angeles International Airport,Boston Logan International Airport,2025-04-06 06:00,N/A,494,0,332,2025-04-06 06:00,2025-04-06 14:32
JetBlue,B6 688,Los Angeles International Airport,Boston Logan International Airport,2025-04-06 10:15,N/A,527,0,336,2025-04-06 10:15,2025-04-06 18:51
JetBlue,B6 988,Los Angeles International Airport,Boston Logan International Airport,2025-04-06 12:45,N/A,527,0,328,2025-04-06 12:45,2025-04-06 21:13
JetBlue,B6 288,Los Angeles International Airport,Boston Logan International Airport,2025-04-06 14:20,N/A,527,0,328,2025-04-06 14:20,2025-04-06 22:48
Delta,DL 639,Los Angeles International Airport,Boston Logan International Airport,2025-04-06 07:45,N/A,570,0,332,2025-04-06 07:45,2025-04-06 16:17
Delta,DL 507,Los Angeles International Airport,Boston Logan International Airport,2025-04-06 21:20,N/A,570,0,335,2025-04-06 21:20,2025-04-07 05:55
United,UA 1783,Los Angeles International Airport,Boston Logan International Airport,2025-04-06 08:15,N/A,652,0,323,2025-04-06 08:15,2025-04-06 16:38
Delta,DL 437,Los Angeles International Airport,Boston Logan International Airport,2025-04-06 13:00,N/A,712,0,332,2025-04-06 13:00,2025-04-06 21:32
American,AA 2765,Los Angeles International Airport,Miami International Airport,2025-01-05 13:05,N/A,501,0,295,2025-01-05 13:05,2025-01-05 21:00
American,AA 1990,Los Angeles International Airport,Miami International Airport,2025-01-05 14:02,N/A,501,0,303,2025-01-05 14:02,2025-01-05 22:05
United,UA 1416,Los Angeles International Airport,George Bush Intercontinental Airport,2025-01-05 08:20,N/A,502,1,200,2025-01-05 08:20,2025-01-05 13:40
United,UA 1501,George Bush Intercontinental Airport,Miami International Airport,2025-01-05 14:20,N/A,502,1,153,2025-01-05 14:20,2025-01-05 17:53
American,AA 2186,Los Angeles International Airport,Miami International Airport,2025-01-05 21:22,N/A,531,0,300,2025-01-05 21:22,2025-01-06 05:22
American,AA 2755,Los Angeles International Airport,Miami International Airport,2025-01-05 23:10,N/A,554,0,301,2025-01-05 23:10,2025-01-06 07:11
Delta,DL 811,Los Angeles International Airport,Miami International Airport,2025-01-05 08:00,N/A,869,0,303,2025-01-05 08:00,2025-01-05 16:03
